prompt,capability,reference_type,reference,grader,difficulty
"Classify the following sentence of a news article as fact (statment free of rephrasing, interpretation, opinions, and emotions), opinion (expression of a personal view, judgement, appraisal, opinion, or interpretation), claim (assertion of unverified information, rephrased facts, or affirmation of opinions), argument (data, information, reference, opinion, or narrative used to support a claim), data (raw data or statistics, must incluide the source which cant be a person, and must exclude any interpretation of the data), quote (direct quote from a person or a document), narrative (a story, account of events, experiences, or context used to illustrate a claim or argument), sensationalism (when it incluides exaggerations, sarcasm, emotion inducing manipulation, scandal-mongering, or other sensational behavior to induce emotions), or speculation (assumption, theory or opinion about a future event or a hypothetical scenario). Please provide a reasoning for your classification and then state your final answer enclosed in square brackets.
it's the same argument his administration's Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) has made in support of its attempt to subject the braces to new controls.",general,none,,,1.0000
"Please answer with the letter of the correct answer.

Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^2 + 1 in Z_2
A) 2
B) 0
C) 1
D) 0,1
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.8182
"Please answer with the letter of the correct answer.

Approximately how many sperm are in the typical ejaculate?
A) 300,000
B) 3 million
C) 30 million
D) 300 million
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.6364
"Please answer with the letter of the correct answer.

This question refers to the following information.
""Al-Zawawi also said 'This sultan Musa told me that at a town called ZKRY he has a copper mine from which ingots are brought to BYTY. ""There is nothing in my kingdom, Musa said, on which a duty is levied except this crude copper which is brought in. Duty is collected on this and on nothing else. We send it to the land of the pagan Sudan and sell it for two-thirds of its weight in gold, so that we sell 100 measures of this copper for 66 2/3 measures of gold.' He also stated that there are pagan nations in his kingdom from whom he does not collect the tribute (jizya) but whom he simply employs in extracting the gold from its deposits. The gold is extracted by digging pits about a man's height in depth and the gold is found embedded in the sides of the pits or sometimes collected at the bottom of them.""
From N. Levtzion & J.F.P. Hopkins, eds. Corpus of Early
Arabic Sources for West African History. Cambridge
University Press, 1981. Reprinted with permission of
Cambridge University Press.
Al' Umari, ca. 1300–1384
Which of the following statements about the period 600–1450 C.E. is supported by the passage?
A) International trade connections were still being developed in the period.
B) Religions were often spread through warfare during the period.
C) Diseases spread along trade routes.
D) Nomadic migrations created powerful empires during the period.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.3636
"Classify the following sentence of a news article as fact (statment free of rephrasing, interpretation, opinions, and emotions), opinion (expression of a personal view, judgement, appraisal, opinion, or interpretation), claim (assertion of unverified information, rephrased facts, or affirmation of opinions), argument (data, information, reference, opinion, or narrative used to support a claim), data (raw data or statistics, must incluide the source which cant be a person, and must exclude any interpretation of the data), quote (direct quote from a person or a document), narrative (a story, account of events, experiences, or context used to illustrate a claim or argument), sensationalism (when it incluides exaggerations, sarcasm, emotion inducing manipulation, scandal-mongering, or other sensational behavior to induce emotions), or speculation (assumption, theory or opinion about a future event or a hypothetical scenario). Please provide a reasoning for your classification and then state your final answer enclosed in square brackets.
“They got - they - before this - I became president, they passed legislation saying you can't sue them. Imagine had that been the case with tobacco companies.”",general,none,,,0.8182
"Please answer with the letter of the correct answer.

A state has the following homicide statute in effect:""Whoever, purposely and with premeditated malice, or in the perpetration of, or attempt to perpetrate a rape, arson, robbery, burglary, or any other felony dangerous to human life, kills any human being, is guilty of murder in the first degree, and, on conviction, shall suffer death or be imprisoned in the state prison for life; Whoever maliciously but without premeditation kills any human being, is guilty of murder in the second degree, and, on conviction, shall be imprisoned in the state prison for life; Whoever unlawfully kills any human being without malice, express or implied, either voluntarily upon a sudden heat or involuntarily, but in the commission of some unlawful act, is guilty of manslaughter, and on conviction, shall be imprisoned in the state prison not less than two years nor more than 20 years. ""A man is having an affair with a married woman. The husband finds out about his wife's relationship with the man. The next day, the husband sees the man walking down the street. Enraged by the man's relationship with his wife, the husband pulls out a gun and shoots the man, killing him. The husband is subsequently arrested and prosecuted under the homicide statute for killing the man. At trial, the husband's attorney attempts to introduce evidence that at the time the husband shot the victim, he was intoxicated. Upon objection by the prosecuting attorney, the evidence is
A) admissible.
B) not admissible.
C) admissible, but the jury must be cautioned that it does not pertain to felony murder or seconddegree murder.
D) admissible, but the jury must be cautioned that it does not pertain to manslaughter.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,1.0000
"Please answer with the letter of the correct answer.

Which of the following statements will be true if the number of replications used in a Monte Carlo study is small?

i) The statistic of interest may be estimated imprecisely


ii) The results may be affected by unrepresentative combinations of random draws


iii) The standard errors on the estimated quantities may be unacceptably large


iv) Variance reduction techniques can be used to reduce the standard errors
A) (ii) and (iv) only
B) (i), (ii), and (iv) only
C) (i), (ii), (iii), and (iv)
D) (i) and (iii) only
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.7273
"Please answer with the letter of the correct answer.

A 25 g sample of a solid was heated to 100 °C and then quickly transferred to an insulated container holding 100 g of water at 26 °C. The temperature of the mixture rose to reach a final temperature of 37 °C. Which of the following can be concluded?
A) The sample lost more thermal energy than the water gained because the sample temperature changed more than the water temperature did.
B) Even though the sample temperature changed more than the water temperature did, the sample lost the same amount of thermal energy as the water gained.
C) The sample temperature changed more than the water temperature did; therefore the heat capacity of the sample must be greater than the heat capacity of the water.
D) The final temperature is less than the average starting temperatures; therefore the equilibrium constant must be less than 1.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"Classify the following sentence of a news article as fact (statment free of rephrasing, interpretation, opinions, and emotions), opinion (expression of a personal view, judgement, appraisal, opinion, or interpretation), claim (assertion of unverified information, rephrased facts, or affirmation of opinions), argument (data, information, reference, opinion, or narrative used to support a claim), data (raw data or statistics, must incluide the source which cant be a person, and must exclude any interpretation of the data), quote (direct quote from a person or a document), narrative (a story, account of events, experiences, or context used to illustrate a claim or argument), sensationalism (when it incluides exaggerations, sarcasm, emotion inducing manipulation, scandal-mongering, or other sensational behavior to induce emotions), or speculation (assumption, theory or opinion about a future event or a hypothetical scenario). Please provide a reasoning for your classification and then state your final answer enclosed in square brackets.
But over the weekend, the group transformed from a loyal militia to Moscow's foremost security threat, as Prigozhin openly rebelled against the Russian military.",general,none,,,1.0000
"Please answer with the letter of the correct answer.

 Frances Kamm discusses the case of a scientist who works on finding a cure for congenital blindness and is motivated only by a bad desire for mastery to suggest that
A) all actions motived by bad desires are impermissible.
B) the desire for mastery is not, as Sandel argues, a bad desire.
C) sometimes the only way to cure a disease is through selfish desires.
D) sometimes an action can be permissible even if it is motivated by a bad desire.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"Please answer with the letter of the correct answer.

Another name for the fallacy of begging the question is
A) Dito simpliciter
B) Bifurcation
C) Circular reasoning
D) Reprehensible personality
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"Please answer with the letter of the correct answer.

When a campaign becomes noticed and unavoidable, it has achieved the ________ stage.
A) participation
B) identification
C) penetration
D) distribution
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"Please assume the role of an English translator, tasked with correcting and enhancing spelling and language. Regardless of the language I use, you should identify it, translate it, and respond with a refined and polished version of my text in English. Your objective is to use eloquent and sophisticated expressions, while preserving the original meaning. Focus solely on providing corrections and improvements. My first request is ""衣带渐宽终不悔 为伊消得人憔悴"".
Ich verstehe nur Bahnhof",general,none,,,0.6455
"Please answer with the letter of the correct answer.

When the Spanish explorer Hernando de Soto crossed a portion of the North American continent, his expedition encountered direct descendants of which people?
A) Mississippian
B) Adena
C) Kwakiutl
D) Ancestral Puebloan
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.1818
"Please answer with the letter of the correct answer.

Statement 1 | Every ideal in a ring is a subring of the ring. Statement 2 | Every subring of every ring is an ideal of the ring.
A) True, True
B) False, True
C) True, False
D) False, False
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.5455
"Please answer with the letter of the correct answer.

What is a paradigm?
A) An illustration
B) An example serving as a model
C) A theoretical assumption
D) A theoretical model
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.5455
"下面这段内容出自哪篇楚辞？请仅回复楚辞名。 例如：《离骚》
---
怨公子兮怅忘归，君思我兮不得闲。",general,none,,,1.0000
"Please answer with the letter of the correct answer.

 Sandel's case against moral engineering can best be considered
A) a natural law theory approach.
B) an application of the ethics of prima facie duty.
C) a virtue ethics approach.
D) a Kantian approach.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.5455
"Please answer with the letter of the correct answer.

Let x = 8. What is x>>1 in Python 3?
A) 4
B) 2
C) 8
D) 3
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.3636
"Please answer with the letter of the correct answer.

A homeotic mutation is one which
A) is wild type at one temperature and abnormal at another
B) substitutes one body part for another in development
C) is present in only one form in an individual
D) results in development of a tumor
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.1818
"Please answer with the letter of the correct answer.

Robert is a marketer for a global consumer products company. He is working on the promotional campaign designed to reach a target audience in a new international market. Robert is working hard to make sure that the promotional campaign is clearly understood by the nation's consumers and doesn't offend anyone. By which of the factors in the external environment is he being influenced
A) Economic environment.
B) Socio-cultural environment.
C) Legal environment.
D) Competitive environment.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.1818
"Please answer with the letter of the correct answer.

When was the Old Babylonian version of Gilgamesh modified into the standard version?
A) Toward the end of the first millennium BCE
B) Towards the middle of the first millennium BCE
C) Toward the middle of the second millennium BCE
D) Toward the end of the second millennium BCE
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.8182
"Please answer with the letter of the correct answer.

 Types of non-random samples include:
A) Cluster and convenience samples.
B) Convenience and quota samples.
C) Stratified and convenience samples.
D) Random and cluster samples.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.8182
"Please answer with the letter of the correct answer.

Electricity and magnetism connect to form
A) ultrahigh-frequency sound
B) energy
C) light
D) mass
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.4545
"Please answer with the letter of the correct answer.

Tariffs and quotas
A) do not necessarily affect domestic prices.
B) promote trade between nations.
C) affect domestic prices: the former raises them while the latter lowers them.
D) result in higher domestic prices.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.5455
"下面这段内容出自诗经的哪一篇？请只回复包含完整分类结构的篇目名称，不要包含其他内容。例如：《周南·关雎》
---
我心匪石，不可转也。我心匪席，不可卷也。",general,none,,,1.0000
"Please answer with the letter of the correct answer.

Bill is a successful ad executive for a computer company. He is 32 married and the father of two children. When Bill's wife is not home he puts on her satin stockings garter belt bra skirt blouse and red stilettos. While dressing he becomes sexually excited and proceeds to masturbate. Which of the following descriptions best fits Bill?
A) female impersonator
B) transsexual
C) drag queen
D) transvestite
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.3636
"Please answer with the letter of the correct answer.

This question refers to the following information.
""The greatest contribution that Africa can make to the peace of the world is to avoid all the dangers inherent in disunity, by creating a political union which will also by its success, stand as an example to a divided world. A Union of African states will project more effectively the African personality. It will command respect from a world that has regard only for size and influence. The scant attention paid to African opposition to the French atomic tests in the Sahara, and the ignominious spectacle of the U.N. in the Congo quibbling about constitutional niceties while the Republic was tottering into anarchy, are evidence of the callous disregard of African Independence by the Great Powers.""
Kwame Nkrumah, Ghanian leader, 1961
The passage is most clearly an example of which of the following?
A) Ardent opposition to the influence of capitalism in Africa
B) Responses to failed unification attempts in Africa
C) A plea for the United Nations to intervene in Africa
D) A proposal to increase the standing of Africa in the modern world
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"Please answer with the letter of the correct answer.

This question refers to the following information.
""The struggle against neo-colonialism is not aimed at excluding the capital of the developed world from operating in less developed countries. It is aimed at preventing the financial power of the developed countries being used in such a way as to impoverish the less developed.
Non-alignment, as practiced by Ghana and many other countries, is based on co-operation with all States whether they be capitalist, socialist or have a mixed economy. Such a policy, therefore, involves foreign investment from capitalist countries, but it must be invested in accordance with a national plan drawn up by the government of the non-aligned State with its own interests in mind. The issue is not what return the foreign investor receives on his investments…The question is one of power. A State in the grip of neo-colonialism is not master of its own destiny.""
Kwame Nkrumah, Neo-Colonialism, 1965
Which of the following is referenced by the co-operation mentioned in the second paragraph?
A) The competing empires of World War I
B) The competing ideologies of World War II
C) The competing colonization companies in the Scramble for Africa
D) The competing ideologies of the Cold War
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.3636
"I look forward to the Sunday newspaper so I can look at the comics.  This is the only reason I still get the _ in this day and age.
A) comics
B) newspaper
Print only a single choice  from ""A"" or ""B"" without explanation. Answer:",general,none,,,0.4545
"下面这句话中是否存在发音一样的中文单词（两个汉字及以上），若存在返回是，若不存在返回否。你只需要输出`是`或者`否`
玲儿去医院看病，医生给开了胃药，但是她不愿意吃，所以都是她妈妈给她喂药。",general,none,,,0.4545
"猜字谜，根据我给的描述猜出一个字(请从汉字的字形、发音、意义以及字的拆分组合等角度考虑)。首先提供你的推理，然后提供用英文方括号括[]起来的最终答案。
飘忽不定",general,none,,,0.9091
"Please answer with the letter of the correct answer.

This question refers to the following information.
Read the following governmental regulation.
Press Law
So long as this decree shall remain in force no publication which appears in the form of daily issues, or as a serial not exceeding twenty sheets of printed matter, shall go to press in any state of the union without the previous knowledge and approval of the state officials. Writings which do not belong to one of the above-mentioned classes shall be treated according to the laws now in force, or which may be enacted, in the individual states of the union. . . . Each state of the union is responsible, not only to the state against which the offense is directly committed, but to the whole Confederation, for every publication appearing under its supervision in which the honor or security of other states is infringed or their constitution or administration attacked. . . .
—Carlsbad Resolutions adopted by the Germanic States, 1819
The Carlsbad Resolutions were another of Metternich's schemes, like the Concert of Europe, which aimed to accomplish which of the following?
A) Suppress all voices in government other than his own and control all aspects of his citizens' lives.
B) Establish control of European states by democracy in the tradition of the Enlightenment.
C) Suppress all speech but that of monarchs and the churches that they approve of.
D) Suppress all nationalist revolutions across the continent.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.8182
"Please answer with the letter of the correct answer.

Which of the following hormones has not yet been claimed to ward off senescence?
A) Melatonin
B) Human growth hormone
C) DHEA
D) Viasterol
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.4545
"Please answer with the letter of the correct answer.

Political efficacy refers to the idea that
A) politicians have a duty to inform their constituents about the democratic process
B) individuals believe that they can influence the government through participation in the democratic process
C) political parties can provide a check to the political influence wielded by corporations
D) the system of checks and balances ensures that the government is both efficient and productive
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"You are an assistant who guesses the exact age using the chinese animal zodiac signs and age zones of the zodiac. A user wishing to obtain the subject's exact age provides the zodiac animal zodiac and the estimated age range of the subject, resulting in the year of birth. Answer only the 4-digit year of birth and do not provide any other explanation. If the current year, zodiac sign, and approximate age range are provided, please translate and print only the input without additional sentences.
2022, goat, 50s",general,none,,,0.5455
"Please answer with the letter of the correct answer.

What does the term matsuri mean?
A) Meditation
B) Rituals
C) Amulets
D) Grand festivals
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.1818
"Please answer with the letter of the correct answer.

The set of all real numbers under the usual multiplication operation is not a group since
A) multiplication is not associative
B) zero has no inverse
C) multiplication is not a binary operation
D) identity element does not exist
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"Please answer with the letter of the correct answer.

Notice from the Hyatt Regency Hotel in New Orleans: We are pleased to confirm your reservation. It will be held on a space-available basis.
A) Inconsistency
B) Gambler's Fallacy
C) Equivocation
D) Affirming the Consequent
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.8182
"Pretend yourself to be Elon Musk in all the following conversations. Speak like Elon Musk as much as possible. Why do we need to go to Mars?
How do you like dancing? Can you teach me?",general,none,,,0.3818
"Write a function that checks if a strings contains 'z', except at the start and end of the word.",general,none,,,0.4545
"Please answer with the letter of the correct answer.

An integer overflow occurs when
A) an integer expression's result ""wraps around""; instead of creating a very large number, a very small (or negative) number ends up getting created
B) there is no more space to hold integers in the program
C) an integer is used to access a buffer outside of the buffer's bounds
D) an integer is used as if it was a pointer
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,1.0000
"Please answer with the letter of the correct answer.

Internet traffic is expected to grow by 400% in the next few years. What is predicted to be the main driver of this?
A) Video
B) Online consumer goods purchases
C) Online auctions
D) Music
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.0909
"Please answer with the letter of the correct answer.

As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making?
A) 41%
B) 71%
C) 56%
D) 26%
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.6364
"Please answer with the letter of the correct answer.

For a neural network, which one of these structural assumptions is the one that most affects the trade-off between underfitting (i.e. a high bias model) and overfitting (i.e. a high variance model):
A) The learning rate
B) The initial choice of weights
C) The number of hidden nodes
D) The use of a constant-term unit input
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.3636
"Please answer with the letter of the correct answer.

According to Selye's General Adaptation Syndrome (GAS) theory, of the following stages, we are most susceptible to disease during
A) resolution
B) exhaustion
C) alarm
D) resistance
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.3636
"Please answer with the letter of the correct answer.

In an e-commerce environment that requires that the information technology (IT) system be available on a continuous basis, more emphasis will be placed on which of the following aspects of the planning than in a traditional organization?
A) Assure that appropriate data backups are stored in an off-site location
B) Maintain appropriate written source documents so the data can be re-entered if it is lost or compromised
C) Review additional expenses to obtain the required amount of business interruption insurance coverage for the organization
D) Maintain redundant systems for instant availability to assure the flow of transactions
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.3636
"Please answer with the letter of the correct answer.

Statement 1 | If a R is an integral domain, then R[x] is an integral domain. Statement 2 | If R is a ring and f(x) and g(x) are in R[x], then deg (f(x)g(x)) = deg f(x) + deg g(x).
A) True, False
B) False, True
C) False, False
D) True, True
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.8182
"Please answer with the letter of the correct answer.

In 1978 who became the youngest jockey ever to win horse racing's triple crown?
A) Steve Cauthen
B) Willie Shoemaker
C) Pasquale Devito
D) Jerry Bailey
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.1818
"[header] How to drug test someone [title] Use laboratory testing to drug test employees. [step] Laboratory tests require the patient to go to a specialized facility. Lab tests are more accurate than take-home tests and are what you should use if you plan on drug screening employees or job applicants.
A) [substeps] Get detailed procedures by various pharmacies and look for lab testing information available on the website of your local pharmacy store. [title] Ask your pharmacist or health professional to show up at the testing clinic.
B) These tests will depend on a number of factors such as age, sex, and health. [substeps] For instance, medical schools often need laboratory tests to test low blood sugar and high cholesterol, especially in individuals over thirty or more years of age.
C) [substeps] In a laboratory setting, there will be less of a chance of sample tampering. Drug tests that evaluate hair and saliva will usually have to be sent to a lab.
D) [substeps] Medical tests focus on determining an individual's level of risk and how he or she will deal with medical issues. Some facilities require the drug tested first, while others require testing as early as six to eight weeks later.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation.
Answer:",general,none,,,0.5455
"Please answer with the letter of the correct answer.

Which of the examples below has not been developed by the European Court of Human Rights as a situation where the state has a positive obligation to protect?
A) To provide housing for all those homeless within a state
B) When the applicant is in the custody of the state
C) The development of a legal framework to protect those within the state
D) Where the state must investigate claims against it
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.5455
"Please answer with the letter of the correct answer.

Another term for sexual self-stimulation is:
A) a and b
B) self-eroticism
C) autoeroticism
D) masturbation
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,1.0000
"Please answer with the letter of the correct answer.

What is the Cassini division of Saturn's rings?
A) a dark ring visible from Earth composed of dark dusty particles
B) the most opaque ring of Saturn made of highly reflective ice particles
C) the widest ring of Saturn located between two large ring gaps
D) a large gap visible from Earth produced by an orbital resonance with the moon Mimas
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.3636
"Please answer with the letter of the correct answer.

Which elephant-headed Hindu deity is often described as the most beloved?
A) Parvati
B) Vishnu
C) Sita
D) Ganesha
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.0909
"Please answer with the letter of the correct answer.

Denise Developer found a near-perfect piece of property zoned commercial in the downtown area of Pleasantville. She hired an architect to design a high tech office building with an objective of attracting upscale tech-industry tenants. She approached Microhard and secured a lease agreement for over half of the available square footage. The lease was not recorded, but the agreement allowed Denise to attract other wealthy tenants. She also disclosed the Microhard lease on her application for a $1,500,000 construction loan from Maximum Mortgage Company. Denise executed a mortgage and related promissory note in favor of Maximum. Maximum recorded the mortgage immediately. The office building was completed and Denise had more tenant demand than available space, so the building opened full. One year later, Denise ran into financial trouble and defaulted on the mortgage. Maximum took possession and immediately notified all the tenants that their leases were cancelled, that they were evicted, and that they must vacate immediately unless they were willing to sign a new lease at double the previous rent. The recording statute in the jurisdiction specified ""every conveyance, encumbrance, or lease not recorded is void as against any subsequent party recording first."" The tenants retained you to compel Maximum to honor the leases at the lower rents. Which of the following statements of advice is the most accurate?
A) All the tenants should renegotiate their leases with Maximum.
B) All the tenants will prevail (unless otherwise in default on their leases), because Maximum loaned money to Denise with actual knowledge that she intended to enter into binding leases with the tenants.
C) Microhard is entitled to continue their lease because Maximum had actual notice of their prior lease.
D) Microhard is entitled to continue their lease because Maximum had constructive notice of their prior lease.
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.9091
"Please answer with the letter of the correct answer.

Which of the following is usually NOT represented in a subroutine's activation record frame for a stack-based programming language?
A) Values of local variables
B) A heap area
C) The return address
D) Stack pointer for the calling activation record
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.6364
"Classify the following sentence of a news article as fact (statment free of rephrasing, interpretation, opinions, and emotions), opinion (expression of a personal view, judgement, appraisal, opinion, or interpretation), claim (assertion of unverified information, rephrased facts, or affirmation of opinions), argument (data, information, reference, opinion, or narrative used to support a claim), data (raw data or statistics, must incluide the source which cant be a person, and must exclude any interpretation of the data), quote (direct quote from a person or a document), narrative (a story, account of events, experiences, or context used to illustrate a claim or argument), sensationalism (when it incluides exaggerations, sarcasm, emotion inducing manipulation, scandal-mongering, or other sensational behavior to induce emotions), or speculation (assumption, theory or opinion about a future event or a hypothetical scenario). Please provide a reasoning for your classification and then state your final answer enclosed in square brackets.
and while Putin managed to survive his rebellion,",general,none,,,1.0000
"please write an title based on this abstract of article:
Organometal halide perovskite materials have demonstrated tremendous advances in the photovoltaic field recently because of their advantageous features of simple fabrication and high power conversion efficiency. To meet the high demand for high throughput and cost-effective, we present a wet process method that enables the probing of the parameters for perovskite layer deposition through two-step sequential ultrasonic spray-coating. This paper describes a detailed investigation on the effects of modification of spray precursor solution (PbI2 and CH3NH3I precursor concentration and solvents used) and post-annealing condition (temperature and time), which can be performed to create optimal film quality as well as improve device efficiency. Through the systematic optimization, the inverted planar perovskite solar cells show the reproducible photovoltaic properties with best power conversion efficiency (PCE) of 10.40% and average PCE of 9.70 ± 0.40%. A continuous spray-coating technique for rapid fabrication of total 16 pieces of perovskite films was demonstrated for providing a viable alternative for the high throughput production of the perovskite solar cells.",general,none,,,0.0000
"下面这段内容出自诗经的哪一篇？请只回复包含完整分类结构的篇目名称，不要包含其他内容。例如：《周南·关雎》
---
兄弟阋于墙，外御其侮。",general,none,,,1.0000
"Please answer with the letter of the correct answer.

 Which of the following are forms of misogynist speech according to Richardson-Self?
A) Intradivisional misogynist speech
B) Interpersonal misogynist speech
C) A and B only
D) Interdivisional misogynist speech
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"Please answer with the letter of the correct answer.

The role of gathering and interpreting intelligence about foreign countries in order to allow policymakers to make good foreign policy decisions was given to
A) the Federal Bureau of Investigation (FBI).
B) the National Security Council.
C) Both A and B are correct.
D) the Central Intelligence Agency (CIA).
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.3636
"Please answer with the letter of the correct answer.

A transmembrane protein being isolated in the laboratory is found to be composed of four different amino acids in varying quantity. They are, in order of frequency, glycine, tyrosine, arginine, and isoleucine. Of these amino acids, which is most likely to be inside the transmembrane domain?
A) Arginine
B) Isoleucine
C) Tyrosine
D) Glycine
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.6364
"Please answer with the letter of the correct answer.

 Which of the following is an example of a duty that corresponds to a right to goods and service?
A) John's duty to return to Mary that car that he borrowed from her
B) John's duty to allow Mary to pursue goals that she values
C) John's duty to not harm Mary
D) John's duty to not commit suicide
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.5455
"Please answer with the letter of the correct answer.

For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When I stayed over at my friends' house, I used their bathroom, brushed my teeth, and spat in their drinks. Scenario 2 | The landfill is full of my disgarded sexual toys.
A) Wrong, Wrong
B) Not wrong, Wrong
C) Not wrong, Not wrong
D) Wrong, Not wrong
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.6364
"Please answer with the letter of the correct answer.

The philosophers of the ________ School of jurisprudence believe that the law is a set of rules developed, communicated, and enforced by the ruling party rather than a reflection of the society's morality, history, logic, or sociology.
A) Law and Economics
B) Critical Legal Studies
C) Command
D) Natural Law
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《魏书》",general,none,,,0.7273
"Please answer with the letter of the correct answer.

Evading burden of proof is another name for the fallacy of
A) Complex question
B) Extension
C) Complex proposition
D) Appeal to ignorance
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.2727
"Please answer with the letter of the correct answer.

Which of the following is a structural, fibrous protein found in the dermis?
A) Melanin
B) Lipocyte
C) Heparin
D) Collagen
Print only a single choice  from ""A"" or ""B"" or ""C"" or ""D"" without explanation. Answer:",general,none,,,0.0909
